"counter__count","results__|","results__|__goal_probs_0","results__|__goal_probs_1","results__|__goal_probs_2","results__|__goal_probs_3","results__|__goal_probs_4","results__|__reward_score","results__|__time_spent","results__|__timestep","results__|__true_goal_probs","results__a"
"","","0.2","0.2","0.2","0.2","0.2","0.8","4.706","4","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","1","6.722","5","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","1.2","6.874","6","0.2",""
"","","0","0","0","1","0","2.2","9.584","7","1",""
"","","0","0","0","1","0","3.2","3.726","8","1",""
"","","0","0","0","1","0","4.2","5.034","9","1",""
"","","0","0","0","1","0","5.2","4.13","10","1",""
"","1607115047337_tutorial","0.2","0.2","0.2","0.2","0.2","0.2","0","1","0.2",""
"","","0.5333333333333333","0.4666666666666667","0","0","0","0.7333333333333334","0","2","0.5333333333333333",""
"","","0.5333333333333333","0.4666666666666667","0","0","0","1.2666666666666666","0","3","0.5333333333333333",""
"","","0.5333333333333333","0.4666666666666667","0","0","0","1.7999999999999998","0","4","0.5333333333333333",""
"","","0.5333333333333333","0.4666666666666667","0","0","0","2.333333333333333","0","5","0.5333333333333333",""
"","","0.5294117647058824","0.47058823529411764","0","0","0","2.8627450980392153","0","6","0.5294117647058824",""
"","","0.5294117647058824","0.47058823529411764","0","0","0","3.3921568627450975","0","7","0.5294117647058824",""
"","1607115052292_problem_0_1","0.2","0.2","0.2","0.2","0.2","0.2","0","1","0.2",""
"","","0.30434782608695654","0.30434782608695654","0.13043478260869565","0.13043478260869565","0.13043478260869565","0.5043478260869565","0","2","0.30434782608695654",""
"","","0.30434782608695654","0.30434782608695654","0.13043478260869565","0.13043478260869565","0.13043478260869565","0.808695652173913","0","3","0.30434782608695654",""
"","","0.30434782608695654","0.30434782608695654","0.13043478260869565","0.13043478260869565","0.13043478260869565","1.1130434782608696","0","4","0.30434782608695654",""
"","","0.42857142857142855","0.42857142857142855","0.047619047619047616","0.047619047619047616","0.047619047619047616","1.5416149068322982","0","5","0.42857142857142855",""
"","","0.42857142857142855","0.42857142857142855","0.047619047619047616","0.047619047619047616","0.047619047619047616","1.9701863354037268","0","6","0.42857142857142855",""
"","","1","0","0","0","0","2.970186335403727","0","7","1",""
"","","0.2","0.2","0.2","0.2","0.2","0.2","7.657","1","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.4","17.507","2","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.6000000000000001","9.34","3","0.2",""
"","","0.05263157894736842","0.05263157894736842","0.05263157894736842","0.42105263157894735","0.42105263157894735","1.0210526315789474","14.208","4","0.42105263157894735",""
"","","0","0","0","0.5","0.5","1.5210526315789474","12.311","5","0.5",""
"","","0","0","0","1","0","2.5210526315789474","6.98","6","1",""
"","1607115052292_problem_1_3","0.2","0.2","0.2","0.2","0.2","0.2","10.021","1","0.2",""
"","","0.05263157894736842","0.05263157894736842","0.05263157894736842","0.42105263157894735","0.42105263157894735","0.6210526315789473","12.628","2","0.42105263157894735",""
"","","0.05263157894736842","0.05263157894736842","0.05263157894736842","0.42105263157894735","0.42105263157894735","1.0421052631578946","9.132","3","0.42105263157894735",""
"","","0.05263157894736842","0.05263157894736842","0.05263157894736842","0.42105263157894735","0.42105263157894735","1.463157894736842","5.388","4","0.42105263157894735",""
"","","0.05263157894736842","0.05263157894736842","0.05263157894736842","0.42105263157894735","0.42105263157894735","1.8842105263157893","7.072","5","0.42105263157894735",""
"","","0","0","0","0.5","0.5","2.3842105263157896","11.292","6","0.5",""
"","","0","0","0","1","0","3.3842105263157896","6.208","7","1",""
"","1607115052292_problem_4_3","0.2","0.2","0.2","0.2","0.2","0.2","14.256","1","0.2",""
"","","0.2413793103448276","0.034482758620689655","0.2413793103448276","0.2413793103448276","0.2413793103448276","0.4413793103448276","14.072","2","0.2413793103448276",""
"","","0.3333333333333333","0","0.3333333333333333","0","0.3333333333333333","0.7747126436781608","15.235","3","0.3333333333333333",""
"","","0","0","0","0","1","1.7747126436781608","9.697","4","1",""
"","1607115052292_tutorial","0.2","0.2","0.2","0.2","0.2","0.2","0","1","0.2",""
"","","0.30434782608695654","0.30434782608695654","0.13043478260869565","0.13043478260869565","0.13043478260869565","0.5043478260869565","0","2","0.30434782608695654",""
"","","0.30434782608695654","0.30434782608695654","0.13043478260869565","0.13043478260869565","0.13043478260869565","0.808695652173913","0","3","0.30434782608695654",""
"","","0.30434782608695654","0.30434782608695654","0.13043478260869565","0.13043478260869565","0.13043478260869565","1.1130434782608696","0","4","0.30434782608695654",""
"","","0.42857142857142855","0.42857142857142855","0.047619047619047616","0.047619047619047616","0.047619047619047616","1.5416149068322982","0","5","0.42857142857142855",""
"","","0.42857142857142855","0.42857142857142855","0.047619047619047616","0.047619047619047616","0.047619047619047616","1.9701863354037268","0","6","0.42857142857142855",""
"","","1","0","0","0","0","2.970186335403727","0","7","1",""
"","1607115054229_problem_0_4","0.2","0.2","0.2","0.2","0.2","0.2","0","1","0.2",""
"","","0.25","0.25","0","0.25","0.25","0.45","0","2","0.25",""
"","","0.5","0.5","0","0","0","0.95","0","3","0.5",""
"","","0.5","0.5","0","0","0","1.45","0","4","0.5",""
"","","0.5","0.5","0","0","0","1.95","0","5","0.5",""
"","","0.5","0.5","0","0","0","2.45","0","6","0.5",""
"","","0.5","0.5","0","0","0","2.95","0","7","0.5",""
"","","0.2","0.2","0.2","0.2","0.2","0.2","2.82","1","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.4","6.768","2","0.2",""
"","","0.2","0.2","0.2","0.2","0.2","0.6000000000000001","9.303","3","0.2",""
"","","0.5","0.5","0","0","0","1.1","9.744","4","0.5",""
"","","0.5","0.5","0","0","0","1.6","4.632","5","0.5",""
